%% Created on 2025-07-12 at 14:07:22 CEST by David Gaspard (ORCID 0000-0002-4449-8782) <david.gaspard@espci.fr> 
%% Contour of the Eiffel Tower that can be used to create a mesh (see: addPolygonFromFile()). NB: Use scale > 20 to get appreciable mesh sizes.
x	y
-0.98616	-7e-05
-0.85061	0.18922
-0.73163	0.38054
-0.53018	0.78602
-0.54819	0.88615
-0.52865	0.88852
-0.53326	0.99514
-0.4429	0.9955
-0.34854	1.31756
-0.26275	1.65483
-0.29754	1.67892
-0.31067	1.76888
-0.24918	1.78963
-0.24577	1.81821
-0.22443	1.82066
-0.19679	2.08467
-0.16321	2.43354
-0.14054	2.85113
-0.1132	3.40944
-0.09631	3.86465
-0.13604	3.91199
-0.12199	4.12987
-0.04486	4.21287
-0.03577	4.53579
-0.0025	4.53644
0.00815	4.21157
0.08258	4.13376
0.09752	3.91004
0.0602	3.8666
0.08586	3.40685
0.11891	2.84854
0.1461	2.43872
0.18591	2.08143
0.21956	1.82335
0.23992	1.81946
0.23888	1.78833
0.29998	1.77342
0.28733	1.67889
0.25081	1.65345
0.34359	1.31151
0.43911	0.99529
0.53337	0.9955
0.53409	0.88894
0.55137	0.88505
0.53222	0.79362
0.74271	0.38558
0.86567	0.19008
0.99807	6.21725e-15
0.55689	6.21725e-15
0.52516	0.14387
0.44532	0.2982
0.34599	0.41752
0.20241	0.51608
0.00376	0.5524
-0.17722	0.52127
-0.32355	0.42806
-0.42653	0.31022
-0.51029	0.14554
-0.54025	6.21725e-15
